ID_frame,TimeStamp,MAC,AP,RSSI,Vendor
"14802,""2016-03-14 15:35:56"",88:1F:A1:3A:6A:28,PASC,2,Apple"
"14803,""2016-03-14 15:35:56"",C8:CB:B8:ED:D1:F0,SIP-WPA2,6,""Hewlett Packard"""
"14804,""2016-03-14 15:35:56"",C8:CB:B8:ED:D1:F4,eduroam,7,""Hewlett Packard"""
"14805,""2016-03-14 15:35:56"",C8:CB:B8:ED:D1:F3,public,5,""Hewlett Packard"""
"14806,""2016-03-14 15:35:56"",C8:CB:B8:ED:D1:F2,eth,6,""Hewlett Packard"""
"14807,""2016-03-14 15:35:56"",C8:CB:B8:ED:D1:F1,Swisscom_Auto_Login,6,""Hewlett Packard"""
"14808,""2016-03-14 15:35:56"",C8:CB:B8:ED:84:91,Swisscom_Auto_Login,11,""Hewlett Packard"""
"14809,""2016-03-14 15:35:56"",C8:CB:B8:ED:84:94,eduroam,12,""Hewlett Packard"""
"14810,""2016-03-14 15:35:56"",C8:CB:B8:ED:84:90,SIP-WPA2,14,""Hewlett Packard"""
"14811,""2016-03-14 15:35:56"",C8:CB:B8:ED:84:93,public,13,""Hewlett Packard"""
"14812,""2016-03-14 15:35:56"",C8:CB:B8:ED:84:92,eth,14,""Hewlett Packard"""
"14813,""2016-03-14 15:35:56"",60:02:B4:A7:B2:D9,meshlium,54,""Wistron Neweb"""
"14814,""2016-03-14 15:37:06"",C8:CB:B8:ED:D0:F1,Swisscom_Auto_Login,5,""Hewlett Packard"""
"14815,""2016-03-14 15:37:06"",C8:CB:B8:ED:D0:F4,eduroam,4,""Hewlett Packard"""
"14816,""2016-03-14 15:37:06"",C8:CB:B8:ED:D0:F2,eth,4,""Hewlett Packard"""
"14817,""2016-03-14 15:37:06"",C8:CB:B8:ED:D0:F3,public,6,""Hewlett Packard"""
"14818,""2016-03-14 15:37:06"",C8:CB:B8:ED:D1:F2,eth,10,""Hewlett Packard"""
"14819,""2016-03-14 15:37:06"",C8:CB:B8:ED:D1:F4,eduroam,9,""Hewlett Packard"""
"14820,""2016-03-14 15:37:06"",C8:CB:B8:ED:D1:F1,Swisscom_Auto_Login,10,""Hewlett Packard"""
"14821,""2016-03-14 15:37:06"",C8:CB:B8:ED:D1:F0,SIP-WPA2,10,""Hewlett Packard"""
"14822,""2016-03-14 15:37:06"",C8:CB:B8:ED:D1:F3,public,10,""Hewlett Packard"""
"14823,""2016-03-14 15:37:06"",60:02:B4:A7:B2:D9,meshlium,49,""Wistron Neweb"""
"14824,""2016-03-14 15:37:06"",9C:D9:17:5C:35:38,,30,Unknown"
"14825,""2016-03-14 15:37:07"",A0:A8:CD:A7:71:14,,34,""Intel Orate"""
"14826,""2016-03-14 15:38:38"",C8:CB:B8:ED:84:92,,-1,""Hewlett Packard"""
"14827,""2016-03-14 15:38:38"",C8:CB:B8:ED:D0:F4,eduroam,4,""Hewlett Packard"""
"14828,""2016-03-14 15:38:38"",C8:CB:B8:ED:D0:F1,Swisscom_Auto_Login,4,""Hewlett Packard"""
"14829,""2016-03-14 15:38:38"",C8:CB:B8:ED:D0:F2,eth,4,""Hewlett Packard"""
"14830,""2016-03-14 15:38:38"",C8:CB:B8:ED:D0:F3,public,5,""Hewlett Packard"""
"14831,""2016-03-14 15:38:38"",C8:CB:B8:ED:D0:F0,SIP-WPA2,5,""Hewlett Packard"""
"14832,""2016-03-14 15:38:38"",C8:CB:B8:ED:D1:F4,eduroam,14,""Hewlett Packard"""
"14833,""2016-03-14 15:38:38"",C8:CB:B8:ED:D1:F0,SIP-WPA2,14,""Hewlett Packard"""
"14834,""2016-03-14 15:38:38"",C8:CB:B8:ED:D1:F1,Swisscom_Auto_Login,13,""Hewlett Packard"""
"14835,""2016-03-14 15:38:38"",C8:CB:B8:ED:D1:F3,public,13,""Hewlett Packard"""
"14836,""2016-03-14 15:38:38"",C8:CB:B8:ED:D1:F2,eth,13,""Hewlett Packard"""
"14837,""2016-03-14 15:38:38"",60:02:B4:A7:B2:D9,meshlium,54,""Wistron Neweb"""
"14838,""2016-03-14 15:38:38"",A4:5E:60:C2:96:FB,,12,Unknown"
"14839,""2016-03-14 15:38:38"",14:10:9F:E1:8F:4D,,16,Apple"
"14840,""2016-03-14 15:38:38"",9C:D9:17:5C:35:38,,26,Unknown"
"14841,""2016-03-14 15:38:38"",A0:A8:CD:A7:71:14,,41,""Intel Orate"""
"14842,""2016-03-14 15:40:10"",C8:CB:B8:ED:D0:F0,SIP-WPA2,2,""Hewlett Packard"""
"14843,""2016-03-14 15:40:10"",C8:CB:B8:ED:D1:F2,eth,12,""Hewlett Packard"""
"14844,""2016-03-14 15:40:10"",C8:CB:B8:ED:D1:F0,SIP-WPA2,11,""Hewlett Packard"""
"14845,""2016-03-14 15:40:10"",C8:CB:B8:ED:D1:F3,public,11,""Hewlett Packard"""
"14846,""2016-03-14 15:40:10"",C8:CB:B8:ED:D1:F4,eduroam,11,""Hewlett Packard"""
"14847,""2016-03-14 15:40:10"",C8:CB:B8:ED:D1:F1,Swisscom_Auto_Login,11,""Hewlett Packard"""
"14848,""2016-03-14 15:40:10"",60:02:B4:A7:B2:D9,meshlium,45,""Wistron Neweb"""
"14849,""2016-03-14 15:40:10"",9C:D9:17:5C:35:38,,22,Unknown"
"14850,""2016-03-14 15:40:10"",14:10:9F:E1:8F:4D,,30,Apple"
"14851,""2016-03-14 15:40:10"",A0:A8:CD:A7:71:14,,43,""Intel Orate"""
"14852,""2016-03-14 15:41:42"",C8:CB:B8:ED:D0:F1,Swisscom_Auto_Login,5,""Hewlett Packard"""
"14853,""2016-03-14 15:41:42"",C8:CB:B8:ED:D0:F0,SIP-WPA2,5,""Hewlett Packard"""
"14854,""2016-03-14 15:41:42"",C8:CB:B8:ED:D0:F2,eth,5,""Hewlett Packard"""
"14855,""2016-03-14 15:41:42"",C8:CB:B8:ED:D0:F3,public,6,""Hewlett Packard"""
"14856,""2016-03-14 15:41:42"",C8:CB:B8:ED:D0:F4,eduroam,6,""Hewlett Packard"""
"14857,""2016-03-14 15:41:42"",C8:CB:B8:ED:D1:F4,eduroam,11,""Hewlett Packard"""
"14858,""2016-03-14 15:41:42"",C8:CB:B8:ED:D1:F2,eth,11,""Hewlett Packard"""
"14859,""2016-03-14 15:41:42"",C8:CB:B8:ED:D1:F3,public,11,""Hewlett Packard"""
"14860,""2016-03-14 15:41:42"",C8:CB:B8:ED:D1:F0,SIP-WPA2,15,""Hewlett Packard"""
"14861,""2016-03-14 15:41:42"",C8:CB:B8:ED:D1:F1,Swisscom_Auto_Login,13,""Hewlett Packard"""
"14862,""2016-03-14 15:41:42"",60:02:B4:A7:B2:D9,meshlium,52,""Wistron Neweb"""
"14863,""2016-03-14 15:41:42"",D0:53:49:19:67:3E,,13,Unknown"
"14864,""2016-03-14 15:41:42"",14:10:9F:E1:8F:4D,,35,Apple"
"14865,""2016-03-14 15:41:42"",9C:D9:17:5C:35:38,,19,Unknown"
"14866,""2016-03-14 15:41:42"",A0:A8:CD:A7:71:14,,31,""Intel Orate"""
"14867,""2016-03-14 15:43:13"",CC:3E:5F:B0:8A:74,,7,""Hewlett Packard"""
"14868,""2016-03-14 15:43:13"",CC:3E:5F:B0:8A:72,eth,7,""Hewlett Packard"""
"14869,""2016-03-14 15:43:13"",C8:CB:B8:EC:FB:F0,SIP-WPA2,7,""Hewlett Packard"""
"14870,""2016-03-14 15:43:13"",C8:CB:B8:EC:FB:F3,public,6,""Hewlett Packard"""
"14871,""2016-03-14 15:43:13"",C8:CB:B8:ED:D2:14,eduroam,8,""Hewlett Packard"""
"14872,""2016-03-14 15:43:13"",C8:CB:B8:ED:D2:11,Swisscom_Auto_Login,7,""Hewlett Packard"""
"14873,""2016-03-14 15:43:13"",C8:CB:B8:ED:D2:12,eth,6,""Hewlett Packard"""
"14874,""2016-03-14 15:43:13"",C8:CB:B8:ED:84:F2,,8,""Hewlett Packard"""
"14875,""2016-03-14 15:43:13"",C8:CB:B8:ED:84:F4,,8,""Hewlett Packard"""
"14876,""2016-03-14 15:43:13"",C8:CB:B8:EC:FB:F1,Swisscom_Auto_Login,8,""Hewlett Packard"""
"14877,""2016-03-14 15:43:13"",C8:CB:B8:ED:72:51,Swisscom_Auto_Login,11,""Hewlett Packard"""
"14878,""2016-03-14 15:43:13"",C8:CB:B8:EC:FB:F2,eth,5,""Hewlett Packard"""
"14879,""2016-03-14 15:43:13"",C8:CB:B8:EC:FB:F4,eduroam,5,""Hewlett Packard"""
"14880,""2016-03-14 15:43:13"",C8:CB:B8:ED:72:54,eduroam,9,""Hewlett Packard"""
"14881,""2016-03-14 15:43:13"",C8:CB:B8:ED:72:52,eth,9,""Hewlett Packard"""
"14882,""2016-03-14 15:43:14"",C8:CB:B8:ED:72:53,public,10,""Hewlett Packard"""
"14883,""2016-03-14 15:43:14"",60:02:B4:A7:B2:D9,meshlium,48,""Wistron Neweb"""
"14884,""2016-03-14 15:43:14"",90:68:C3:34:FB:9E,,16,Unknown"
"14885,""2016-03-14 15:43:14"",9C:D9:17:5C:35:38,,22,Unknown"
"14886,""2016-03-14 15:43:14"",A0:A8:CD:A7:71:14,,38,""Intel Orate"""
"14887,""2016-03-14 15:44:46"",A0:48:1C:35:09:92,,-1,Unknown"
"14888,""2016-03-14 15:44:46"",2C:44:FD:51:E1:92,,2,""Hewlett Packard"""
"14889,""2016-03-14 15:44:46"",60:02:B4:A7:B2:D9,meshlium,50,""Wistron Neweb"""
"14890,""2016-03-14 15:44:46"",9C:D9:17:5C:35:38,,19,Unknown"
"14891,""2016-03-14 15:44:46"",A0:A8:CD:A7:71:14,,31,""Intel Orate"""
"14892,""2016-03-14 15:46:17"",98:4B:E1:2B:B8:32,,-1,Hewlett-packard"
"14893,""2016-03-14 15:46:17"",60:02:B4:A7:B2:D9,meshlium,55,""Wistron Neweb"""
"14894,""2016-03-14 15:46:17"",A8:44:81:A5:8D:88,,0,Nokia"
"14895,""2016-03-14 15:46:17"",A0:A8:CD:A7:71:14,,30,""Intel Orate"""
"14896,""2016-03-14 15:46:18"",9C:D9:17:5C:35:38,,23,Unknown"
"14897,""2016-03-14 15:47:49"",38:EA:A7:7E:BF:50,SIP-WPA2,9,""Hewlett Packard"""
"14898,""2016-03-14 15:47:49"",38:EA:A7:7E:BF:51,Swisscom_Auto_Login,8,""Hewlett Packard"""
"14899,""2016-03-14 15:47:49"",38:EA:A7:7E:BF:52,eth,4,""Hewlett Packard"""
"14900,""2016-03-14 15:47:49"",38:EA:A7:7E:BF:54,eduroam,4,""Hewlett Packard"""
"14901,""2016-03-14 15:47:49"",38:EA:A7:7E:BF:53,public,8,""Hewlett Packard"""
"14902,""2016-03-14 15:47:49"",98:4B:E1:2B:69:72,,2,Hewlett-packard"
"14903,""2016-03-14 15:47:49"",A0:48:1C:35:07:50,SIP-WPA2,14,Unknown"
"14904,""2016-03-14 15:47:49"",A0:48:1C:35:07:52,eth,15,Unknown"
"14905,""2016-03-14 15:47:49"",A0:48:1C:35:07:51,Swisscom_Auto_Login,14,Unknown"
"14906,""2016-03-14 15:47:49"",A0:48:1C:35:07:54,eduroam,15,Unknown"
"14907,""2016-03-14 15:47:49"",A0:48:1C:35:07:53,public,14,Unknown"
"14908,""2016-03-14 15:47:49"",60:02:B4:A7:B2:D9,meshlium,51,""Wistron Neweb"""
"14909,""2016-03-14 15:47:49"",70:48:0F:9A:2E:3C,,8,Unknown"
"14910,""2016-03-14 15:47:49"",74:29:AF:41:BE:C7,,2,Unknown"
"14911,""2016-03-14 15:47:49"",E0:66:78:EC:6C:AA,,5,Unknown"
"14912,""2016-03-14 15:47:49"",F0:C1:F1:A8:88:0A,,5,Unknown"
"14913,""2016-03-14 15:47:49"",74:04:2B:60:D8:EA,,6,Unknown"
"14914,""2016-03-14 15:47:49"",EC:1F:72:23:4F:D9,,7,Unknown"
"14915,""2016-03-14 15:47:49"",E0:DB:10:68:DB:7B,,8,Unknown"
"14916,""2016-03-14 15:47:49"",9C:D9:17:5C:35:38,,17,Unknown"
"14917,""2016-03-14 15:47:49"",A0:A8:CD:A7:71:14,,31,""Intel Orate"""
"14918,""2016-03-14 15:49:21"",98:4B:E1:2B:85:F4,eduroam,11,Hewlett-packard"
"14919,""2016-03-14 15:49:21"",2C:41:38:F5:01:91,Swisscom_Auto_Login,11,Hewlett-packard"
"14920,""2016-03-14 15:49:21"",2C:41:38:F5:01:94,eduroam,11,Hewlett-packard"
"14921,""2016-03-14 15:49:21"",2C:41:38:F5:01:90,SIP-WPA2,13,Hewlett-packard"
"14922,""2016-03-14 15:49:21"",2C:44:FD:3C:AD:70,SIP-WPA2,16,""Hewlett Packard"""
"14923,""2016-03-14 15:49:21"",2C:44:FD:3C:AD:73,public,15,""Hewlett Packard"""
"14924,""2016-03-14 15:49:21"",2C:44:FD:3C:AD:72,eth,15,""Hewlett Packard"""
"14925,""2016-03-14 15:49:21"",2C:44:FD:3C:AD:71,Swisscom_Auto_Login,15,""Hewlett Packard"""
"14926,""2016-03-14 15:49:21"",2C:44:FD:3C:AD:74,eduroam,14,""Hewlett Packard"""
"14927,""2016-03-14 15:49:21"",98:4B:E1:2B:85:F1,Swisscom_Auto_Login,8,Hewlett-packard"
"14928,""2016-03-14 15:49:21"",98:4B:E1:2B:85:F3,public,11,Hewlett-packard"
