"Plot Title: Temp_RH_Light"
"#","Date Time, GMT+02:00","Temp, °C (LGR S/N: 10857026, SEN S/N: 10857026)","RH, % (LGR S/N: 10857026, SEN S/N: 10857026)","Intensity, Lux (LGR S/N: 10857026, SEN S/N: 10857026)","Host Connected (LGR S/N: 10857026)","Stopped (LGR S/N: 10857026)","End Of File (LGR S/N: 10857026)"
1,04/08/16 01:00:00 PM,23.160,33.559,35.5,,,
2,04/08/16 01:00:01 PM,23.160,33.559,35.5,,,
3,04/08/16 01:00:02 PM,23.160,33.559,35.5,,,
4,04/08/16 01:00:03 PM,23.160,33.592,35.5,,,
5,04/08/16 01:00:04 PM,23.160,33.592,35.5,,,
6,04/08/16 01:00:05 PM,23.160,33.625,35.5,,,
7,04/08/16 01:00:06 PM,23.160,33.692,35.5,,,
8,04/08/16 01:00:07 PM,23.160,33.692,35.5,,,
9,04/08/16 01:00:08 PM,23.160,33.758,35.5,,,
10,04/08/16 01:00:09 PM,23.160,33.825,35.5,,,
11,04/08/16 01:00:10 PM,23.160,33.825,35.5,,,
12,04/08/16 01:00:11 PM,23.160,33.825,35.5,,,
13,04/08/16 01:00:12 PM,23.160,33.892,35.5,,,
14,04/08/16 01:00:13 PM,23.160,33.892,35.5,,,
15,04/08/16 01:00:14 PM,23.160,33.892,35.5,,,
16,04/08/16 01:00:15 PM,23.160,33.892,35.5,,,
17,04/08/16 01:00:16 PM,23.160,33.958,35.5,,,
18,04/08/16 01:00:17 PM,23.160,33.958,35.5,,,
19,04/08/16 01:00:18 PM,23.160,34.025,35.5,,,
20,04/08/16 01:00:19 PM,23.160,34.025,35.5,,,
21,04/08/16 01:00:20 PM,23.160,34.025,35.5,,,
22,04/08/16 01:00:21 PM,23.160,33.958,35.5,,,
23,04/08/16 01:00:22 PM,23.160,33.925,35.5,,,
24,04/08/16 01:00:23 PM,23.160,33.958,27.6,,,
25,04/08/16 01:00:24 PM,23.160,33.958,35.5,,,
26,04/08/16 01:00:25 PM,23.160,33.958,27.6,,,
27,04/08/16 01:00:26 PM,23.136,33.989,27.6,,,
28,04/08/16 01:00:27 PM,23.136,34.022,27.6,,,
29,04/08/16 01:00:28 PM,23.136,33.989,27.6,,,
30,04/08/16 01:00:29 PM,23.136,33.956,27.6,,,
31,04/08/16 01:00:30 PM,23.136,33.956,27.6,,,
32,04/08/16 01:00:31 PM,23.136,33.956,27.6,,,
33,04/08/16 01:00:32 PM,23.136,33.956,27.6,,,
34,04/08/16 01:00:33 PM,23.136,33.956,35.5,,,
35,04/08/16 01:00:34 PM,23.136,33.889,27.6,,,
36,04/08/16 01:00:35 PM,23.136,33.889,35.5,,,
37,04/08/16 01:00:36 PM,23.136,33.889,35.5,,,
38,04/08/16 01:00:37 PM,23.136,33.889,35.5,,,
39,04/08/16 01:00:38 PM,23.136,33.889,35.5,,,
40,04/08/16 01:00:39 PM,23.136,33.823,35.5,,,
41,04/08/16 01:00:40 PM,23.136,33.756,35.5,,,
42,04/08/16 01:00:41 PM,23.136,33.723,35.5,,,
43,04/08/16 01:00:42 PM,23.136,33.756,35.5,,,
44,04/08/16 01:00:43 PM,23.136,33.756,35.5,,,
45,04/08/16 01:00:44 PM,23.136,33.756,35.5,,,
46,04/08/16 01:00:45 PM,23.112,33.754,35.5,,,
47,04/08/16 01:00:46 PM,23.112,33.754,35.5,,,
48,04/08/16 01:00:47 PM,23.112,33.754,35.5,,,
49,04/08/16 01:00:48 PM,23.112,33.787,35.5,,,
50,04/08/16 01:00:49 PM,23.112,33.821,35.5,,,
51,04/08/16 01:00:50 PM,23.112,33.821,35.5,,,
52,04/08/16 01:00:51 PM,23.112,33.787,35.5,,,
53,04/08/16 01:00:52 PM,23.112,33.754,35.5,,,
54,04/08/16 01:00:53 PM,23.112,33.787,35.5,,,
55,04/08/16 01:00:54 PM,23.112,33.821,35.5,,,
56,04/08/16 01:00:55 PM,23.112,33.821,35.5,,,
57,04/08/16 01:00:56 PM,23.112,33.821,35.5,,,
58,04/08/16 01:00:57 PM,23.112,33.821,35.5,,,
59,04/08/16 01:00:58 PM,23.112,33.787,35.5,,,
60,04/08/16 01:00:59 PM,23.112,33.821,35.5,,,
61,04/08/16 01:01:00 PM,23.112,33.821,35.5,,,
62,04/08/16 01:01:01 PM,23.112,33.821,27.6,,,
63,04/08/16 01:01:02 PM,23.112,33.821,27.6,,,
64,04/08/16 01:01:03 PM,23.088,33.818,27.6,,,
65,04/08/16 01:01:04 PM,23.112,33.821,27.6,,,
66,04/08/16 01:01:05 PM,23.112,33.821,27.6,,,
67,04/08/16 01:01:06 PM,23.088,33.818,27.6,,,
68,04/08/16 01:01:07 PM,23.088,33.818,27.6,,,
69,04/08/16 01:01:08 PM,23.088,33.818,27.6,,,
70,04/08/16 01:01:09 PM,23.088,33.818,27.6,,,
71,04/08/16 01:01:10 PM,23.088,33.752,27.6,,,
72,04/08/16 01:01:11 PM,23.088,33.785,35.5,,,
73,04/08/16 01:01:12 PM,23.088,33.818,27.6,,,
74,04/08/16 01:01:13 PM,23.088,33.818,35.5,,,
75,04/08/16 01:01:14 PM,23.088,33.818,35.5,,,
76,04/08/16 01:01:15 PM,23.088,33.818,35.5,,,
77,04/08/16 01:01:16 PM,23.088,33.852,35.5,,,
78,04/08/16 01:01:17 PM,23.088,33.885,35.5,,,
79,04/08/16 01:01:18 PM,23.088,33.885,35.5,,,
80,04/08/16 01:01:19 PM,23.088,33.885,35.5,,,
81,04/08/16 01:01:20 PM,23.088,33.852,35.5,,,
82,04/08/16 01:01:21 PM,23.088,33.818,35.5,,,
83,04/08/16 01:01:22 PM,23.088,33.785,35.5,,,
84,04/08/16 01:01:23 PM,23.088,33.752,35.5,,,
85,04/08/16 01:01:24 PM,23.088,33.752,35.5,,,
86,04/08/16 01:01:25 PM,23.064,33.783,35.5,,,
87,04/08/16 01:01:26 PM,23.064,33.750,35.5,,,
88,04/08/16 01:01:27 PM,23.064,33.750,35.5,,,
89,04/08/16 01:01:28 PM,23.088,33.752,35.5,,,
90,04/08/16 01:01:29 PM,23.088,33.818,35.5,,,
91,04/08/16 01:01:30 PM,23.088,33.852,35.5,,,
92,04/08/16 01:01:31 PM,23.064,33.883,35.5,,,
93,04/08/16 01:01:32 PM,23.064,33.883,27.6,,,
94,04/08/16 01:01:33 PM,23.064,33.916,27.6,,,
95,04/08/16 01:01:34 PM,23.064,33.949,27.6,,,
96,04/08/16 01:01:35 PM,23.064,33.949,27.6,,,
97,04/08/16 01:01:36 PM,23.064,33.949,27.6,,,
98,04/08/16 01:01:37 PM,23.064,33.916,27.6,,,
99,04/08/16 01:01:38 PM,23.064,33.883,27.6,,,
100,04/08/16 01:01:39 PM,23.064,33.816,27.6,,,
101,04/08/16 01:01:40 PM,23.064,33.750,27.6,,,
102,04/08/16 01:01:41 PM,23.064,33.683,27.6,,,
103,04/08/16 01:01:42 PM,23.064,33.617,27.6,,,
104,04/08/16 01:01:43 PM,23.064,33.583,35.5,,,
105,04/08/16 01:01:44 PM,23.064,33.550,27.6,,,
106,04/08/16 01:01:45 PM,23.064,33.550,35.5,,,
107,04/08/16 01:01:46 PM,23.064,33.483,27.6,,,
108,04/08/16 01:01:47 PM,23.064,33.483,27.6,,,
109,04/08/16 01:01:48 PM,23.064,33.417,35.5,,,
110,04/08/16 01:01:49 PM,23.064,33.383,35.5,,,
111,04/08/16 01:01:50 PM,23.040,33.415,35.5,,,
112,04/08/16 01:01:51 PM,23.064,33.417,35.5,,,
113,04/08/16 01:01:52 PM,23.064,33.417,35.5,,,
114,04/08/16 01:01:53 PM,23.064,33.417,35.5,,,
115,04/08/16 01:01:54 PM,23.040,33.415,35.5,,,
116,04/08/16 01:01:55 PM,23.040,33.448,35.5,,,
117,04/08/16 01:01:56 PM,23.040,33.481,35.5,,,
118,04/08/16 01:01:57 PM,23.040,33.481,35.5,,,
119,04/08/16 01:01:58 PM,23.040,33.548,35.5,,,
120,04/08/16 01:01:59 PM,23.040,33.514,35.5,,,
121,04/08/16 01:02:00 PM,23.040,33.514,35.5,,,
122,04/08/16 01:02:01 PM,23.040,33.548,35.5,,,
123,04/08/16 01:02:02 PM,23.040,33.514,35.5,,,
124,04/08/16 01:02:03 PM,23.040,33.481,35.5,,,
125,04/08/16 01:02:04 PM,23.040,33.481,35.5,,,
126,04/08/16 01:02:05 PM,23.040,33.481,35.5,,,
127,04/08/16 01:02:06 PM,23.040,33.481,35.5,,,
128,04/08/16 01:02:07 PM,23.040,33.481,35.5,,,
129,04/08/16 01:02:08 PM,23.040,33.448,35.5,,,
130,04/08/16 01:02:09 PM,23.040,33.415,35.5,,,
