
2016_04_08_12_50_35_394,$Sound pressure: 64.7435913085 dB,Luminosity: 99.7067413330 ,Dust: 0.1619354724 mg/m,
2016_04_08_12_50_36_626,$Sound pressure: 58.6842117309 dB,Luminosity: 99.7067413330 ,Dust: 0.0516129016 mg/m,
2016_04_08_12_50_39_278,$Sound pressure: 59.7368431091 dB,Luminosity: 99.8044967651 ,Dust: 0.0445161294 mg/m,
2016_04_08_12_50_41_930,$Sound pressure: 57.8947372436 dB,Luminosity: 99.8044967651 ,Dust: 0.0393548374 mg/m,
2016_04_08_12_50_44_582,$Sound pressure: 58.9473686218 dB,Luminosity: 99.8044967651 ,Dust: 0.0380645160 mg/m,
2016_04_08_12_50_47_234,$Sound pressure: 58.1578941345 dB,Luminosity: 99.8044967651 ,Dust: 0.0387096767 mg/m,
2016_04_08_12_50_49_871,$Sound pressure: 60.7692298889 dB,Luminosity: 99.8044967651 ,Dust: 0.0412903213 mg/m,
2016_04_08_12_50_52_538,$Sound pressure: 60.0000000000 dB,Luminosity: 99.8044967651 ,Dust: 0.0387096767 mg/m,
2016_04_08_12_50_55_175,$Sound pressure: 60.7692298889 dB,Luminosity: 99.9022445678 ,Dust: 0.0399999980 mg/m,
2016_04_08_12_50_57_827,$Sound pressure: 61.2820510864 dB,Luminosity: 99.9022445678 ,Dust: 0.0406451606 mg/m,
2016_04_08_12_51_00_479,$Sound pressure: 61.0256423950 dB,Luminosity: 99.9022445678 ,Dust: 0.0412903213 mg/m,
2016_04_08_12_51_03_131,$Sound pressure: 60.5128211975 dB,Luminosity: 99.9022445678 ,Dust: 0.0374193549 mg/m,
2016_04_08_12_51_05_767,$Sound pressure: 61.0256423950 dB,Luminosity: 99.9022445678 ,Dust: 0.0464516115 mg/m,
2016_04_08_12_51_08_435,$Sound pressure: 59.2105255126 dB,Luminosity: 99.8044967651 ,Dust: 0.0419354820 mg/m,
2016_04_08_12_51_11_087,$Sound pressure: 60.0000000000 dB,Luminosity: 99.9022445678 ,Dust: 0.0406451606 mg/m,
