
2016_03_14_15_32_19_681,$Sound pressure: 66.5476226806 dB,Luminosity: 92.4731216430 ,Dust: 0.1645161151 mg/m,
2016_03_14_15_32_20_914,$Sound pressure: 55.2631568908 dB,Luminosity: 96.7741928100 ,Dust: 0.0309677410 mg/m,
2016_03_14_15_32_23_566,$Sound pressure: 52.5000000000 dB,Luminosity: 96.5786895751 ,Dust: 0.0303225803 mg/m,
2016_03_14_15_32_26_233,$Sound pressure: 52.5000000000 dB,Luminosity: 92.5708694458 ,Dust: 0.0316129016 mg/m,
2016_03_14_15_32_28_885,$Sound pressure: 55.0000000000 dB,Luminosity: 95.9921798706 ,Dust: 0.0303225803 mg/m,
2016_03_14_15_32_31_553,$Sound pressure: 51.2500000000 dB,Luminosity: 96.1876831054 ,Dust: 0.0309677410 mg/m,
2016_03_14_15_32_34_158,$Sound pressure: 51.2500000000 dB,Luminosity: 90.8113403320 ,Dust: 0.0296774177 mg/m,
2016_03_14_15_32_36_826,$Sound pressure: 53.1250000000 dB,Luminosity: 90.8113403320 ,Dust: 0.0296774177 mg/m,
2016_03_14_15_32_39_478,$Sound pressure: 54.3750000000 dB,Luminosity: 99.8044967651 ,Dust: 0.0290322570 mg/m,
2016_03_14_15_32_42_114,$Sound pressure: 51.2500000000 dB,Luminosity: 99.8044967651 ,Dust: 0.0316129016 mg/m,
2016_03_14_15_32_44_766,$Sound pressure: 54.3750000000 dB,Luminosity: 99.7067413330 ,Dust: 0.0309677410 mg/m,
2016_03_14_15_32_47_418,$Sound pressure: 51.8750000000 dB,Luminosity: 99.6089935302 ,Dust: 0.0309677410 mg/m,
2016_03_14_15_32_50_070,$Sound pressure: 51.8750000000 dB,Luminosity: 98.9247283935 ,Dust: 0.0303225803 mg/m,
2016_03_14_15_32_52_706,$Sound pressure: 52.5000000000 dB,Luminosity: 93.7438888549 ,Dust: 0.0316129016 mg/m,
2016_03_14_15_32_55_358,$Sound pressure: 51.8750000000 dB,Luminosity: 99.5112380981 ,Dust: 0.0303225803 mg/m,
2016_03_14_15_32_58_026,$Sound pressure: 51.2500000000 dB,Luminosity: 93.2551345825 ,Dust: 0.0335483884 mg/m,
2016_03_14_15_33_00_678,$Sound pressure: 58.6842117309 dB,Luminosity: 96.1876831054 ,Dust: 0.0296774177 mg/m,
